Trap_id;Location;Lat;Long;median_income;median_income_bracket ;vegetation_index_NDVI_landsat;veg_index_bracket 
M01A;Montreal;45.66210; -73.49340;76117;3;0.57;3
M02A;Montreal;45.60392; -73.54978;109184;4;0.26;1
M03A;Montreal;45.61610; -73.63090;53504;2;0.16;1
M04A;Montreal;45.59093; -73.64750;41536;2;0.30;2
M05B;Montreal;45.58560; -73.60990;49792;2;0.63;3
M06C;Montreal;45.57640; -73.56840;49920;2;0.26;1
M07A;Montreal;45.54815; -73.60800;44160;2;0.36;2
M08A;Montreal;45.53071; -73.62900;32320;1;0.08;1
M09B;Montreal;45.56694; -73.65691;43648;2;0.30;2
M10A;Montreal;45.52505; -73.68199;61184;2;0.47;3
M11B;Montreal;45.53339; -73.58411 ;58368;2;0.17;1
M12B;Montreal;45.51740; -73.55720;20928;1;0.12;1
M12C;Montreal;45.51480; -73.56030;40064;2;0.16;1
M13A;Montreal;45.50562; -73.62077;28864;1;0.26;1
M14A;Montreal;45.46289; -73.64800;67008;2;0.38;2
M15B;Montreal;45.44524; -73.58264;65312;2;0.34;2
M16A;Montreal;45.46145; -73.56328;59776;2;0.25;1
M17C;Montreal;45.44171; -73.70715;115456;4;0.35;2
M18B;Montreal;45.47554; -73.85316;81664;3;0.45;2
M19B;Montreal;45.45884; -73.92196;100352;4;0.31;2
M20C;Montreal;45.44198; -73.95342;135424;4;0.64;3
M21B;Montreal;45.48825; -73.64359;41600;2;0.25;1
M22A;Montreal;45.49038; -73.57130;28352;1;0.42;2
M23A;Montreal;45.50625; -73.72942;87808;3;0.34;2
M24B;Montreal;45.57950; -73.52120;60416;2;0.22;1
